localsymbol,secType,symbol,expiry,right,multiplier,strike
SPY7  141114C00191000,OPT,SPY,20141114,C,10,191
SPY7  141114C00192500,OPT,SPY,20141114,C,10,192.5
SPY7  141114C00192000,OPT,SPY,20141114,C,10,192
SPY7  141114C00193500,OPT,SPY,20141114,C,10,193.5
SPY7  141114C00193000,OPT,SPY,20141114,C,10,193
SPY7  141114C00194500,OPT,SPY,20141114,C,10,194.5
SPY7  141114C00194000,OPT,SPY,20141114,C,10,194
SPY7  141114C00195500,OPT,SPY,20141114,C,10,195.5
SPY7  141114C00195000,OPT,SPY,20141114,C,10,195
SPY7  141114C00196500,OPT,SPY,20141114,C,10,196.5
SPY7  141114C00196000,OPT,SPY,20141114,C,10,196
SPY7  141114C00197500,OPT,SPY,20141114,C,10,197.5
SPY7  141114C00197000,OPT,SPY,20141114,C,10,197
SPY7  141114C00198500,OPT,SPY,20141114,C,10,198.5
SPY7  141114C00198000,OPT,SPY,20141114,C,10,198
SPY7  141114C00199500,OPT,SPY,20141114,C,10,199.5
SPY7  141114C00199000,OPT,SPY,20141114,C,10,199
SPY7  141114C00200500,OPT,SPY,20141114,C,10,200.5
SPY7  141114C00200000,OPT,SPY,20141114,C,10,200
SPY7  141114C00201500,OPT,SPY,20141114,C,10,201.5
SPY7  141114C00201000,OPT,SPY,20141114,C,10,201
SPY7  141114C00202500,OPT,SPY,20141114,C,10,202.5
SPY7  141114C00202000,OPT,SPY,20141114,C,10,202
SPY7  141114C00203500,OPT,SPY,20141114,C,10,203.5
SPY7  141114C00203000,OPT,SPY,20141114,C,10,203
SPY7  141114C00204500,OPT,SPY,20141114,C,10,204.5
SPY7  141114C00204000,OPT,SPY,20141114,C,10,204
SPY7  141114C00205000,OPT,SPY,20141114,C,10,205
SPY7  141114C00207500,OPT,SPY,20141114,C,10,207.5
SPY7  141114C00210000,OPT,SPY,20141114,C,10,210
SPY7  141114C00212500,OPT,SPY,20141114,C,10,212.5
SPY7  141114C00215000,OPT,SPY,20141114,C,10,215
SPY7  141114C00217500,OPT,SPY,20141114,C,10,217.5
SPY7  141114C00220000,OPT,SPY,20141114,C,10,220
SPY7  141114C00222500,OPT,SPY,20141114,C,10,222.5
SPY7  141114C00225000,OPT,SPY,20141114,C,10,225
SPY7  141114C00227500,OPT,SPY,20141114,C,10,227.5
SPY7  141114C00230000,OPT,SPY,20141114,C,10,230
SPY7  141114C00232500,OPT,SPY,20141114,C,10,232.5
SPY7  141114C00235000,OPT,SPY,20141114,C,10,235
SPY7  141114C00237500,OPT,SPY,20141114,C,10,237.5
SPY7  141114C00240000,OPT,SPY,20141114,C,10,240
SPY7  141114C00242500,OPT,SPY,20141114,C,10,242.5
SPY7  141114C00245000,OPT,SPY,20141114,C,10,245
SPY7  141114C00247500,OPT,SPY,20141114,C,10,247.5
SPY7  141114C00250000,OPT,SPY,20141114,C,10,250
SPY7  141114P00187500,OPT,SPY,20141114,P,10,187.5
SPY7  141114P00187000,OPT,SPY,20141114,P,10,187
SPY7  141114P00188500,OPT,SPY,20141114,P,10,188.5
SPY7  141114P00188000,OPT,SPY,20141114,P,10,188
SPY7  141114P00189500,OPT,SPY,20141114,P,10,189.5
SPY7  141114P00189000,OPT,SPY,20141114,P,10,189
SPY7  141114P00190500,OPT,SPY,20141114,P,10,190.5
SPY7  141114P00190000,OPT,SPY,20141114,P,10,190
SPY7  141114P00191500,OPT,SPY,20141114,P,10,191.5
SPY7  141114P00191000,OPT,SPY,20141114,P,10,191
SPY7  141114P00192500,OPT,SPY,20141114,P,10,192.5
SPY7  141114P00192000,OPT,SPY,20141114,P,10,192
SPY7  141114P00193500,OPT,SPY,20141114,P,10,193.5
SPY7  141114P00193000,OPT,SPY,20141114,P,10,193
SPY7  141114P00194500,OPT,SPY,20141114,P,10,194.5
SPY7  141114P00194000,OPT,SPY,20141114,P,10,194
SPY7  141114P00195500,OPT,SPY,20141114,P,10,195.5
SPY7  141114P00195000,OPT,SPY,20141114,P,10,195
SPY7  141114P00196500,OPT,SPY,20141114,P,10,196.5
SPY7  141114P00196000,OPT,SPY,20141114,P,10,196
SPY7  141114P00197500,OPT,SPY,20141114,P,10,197.5
SPY7  141114P00197000,OPT,SPY,20141114,P,10,197
SPY7  141114P00198500,OPT,SPY,20141114,P,10,198.5
SPY7  141114P00198000,OPT,SPY,20141114,P,10,198
SPY7  141114P00199500,OPT,SPY,20141114,P,10,199.5
SPY7  141114P00199000,OPT,SPY,20141114,P,10,199
SPY7  141114P00200500,OPT,SPY,20141114,P,10,200.5
SPY7  141114P00200000,OPT,SPY,20141114,P,10,200
SPY7  141114P00201500,OPT,SPY,20141114,P,10,201.5
SPY7  141114P00201000,OPT,SPY,20141114,P,10,201
SPY7  141114P00202500,OPT,SPY,20141114,P,10,202.5
SPY7  141114P00202000,OPT,SPY,20141114,P,10,202
SPY7  141114P00203500,OPT,SPY,20141114,P,10,203.5
SPY7  141114P00203000,OPT,SPY,20141114,P,10,203
SPY7  141114P00204500,OPT,SPY,20141114,P,10,204.5
SPY7  141114P00204000,OPT,SPY,20141114,P,10,204
SPY7  141114P00205000,OPT,SPY,20141114,P,10,205
